SID,Donation
19028,80
19099,80
19100,80
19104,150
19106,80
19108,100
19110,80
19114,80
19116,80
19117,120
19122,80
19124,80
19125,80
19126,80
19127,80
19128,80
19129,80
19406,100
19430,80
19241,80
18346,115
17321,120
17381,80
17341,100
16111,120
16115,80
16136,80
16243,80
16271,150
19358,90
19377,120
19008,80
19018,100
19107,80
19111,80
19113,80
19115,80
19120,80
19189,80
19258,80
19325,80
19365,80
19367,80
19368,80
18049,150
18115,80
18117,80
18157,80
17074,80
17078,150
17307,120
17416,80
17427,80
17345,100
17346,80
17348,80
17403,80
17352,120
16006,80
16071,80
16093,120
16487,120
16144,80
16460,80
16211,80
16323,150
16321,80
16363,150
19023,120
19026,80
19076,25
19091,120
19112,80
19151,80
19183,80
19298,80
19377,20
19399,80
18029,80
18050,80
18418,80
18133,80
18459,80
18295,80
18335,100
18386,80
17153,80
17202,80
17275,100
17329,100
17332,80
17337,80
17347,80
17422,85
16037,80
16106,120
16456,200
16137,80
16144,40
16460,40
16161,80
16209,120
16226,80
16252,100
16403,80
16297,80
16343,80
19102,80
19009,120
19015,300
19038,80
19042,80
19049,120
19076,11
19428,100
19119,80
19132,80
19233,100
19235,80
19280,150
19336,10.75
19339,11
19351,11
19352,11
19382,80
18411,80
18022,200
18415,80
18139,80
18453,80
18310,250
18322,80
18355,80
18357,80
16014,80
16161,40
16184,120
16432,85
16272,100
16299,80
16301,80
17047,80
17044,100
17155,120
17194,80
17227,80
17259,80
17261,80
17267,80
17314,100
19034,150
19036,120
19051,80
19059,80
19066,80
19094,14
19415,80
19156,80
19159,50
19163,200
19165,105
19169,30
19181,125
19418,30
19419,80
19202,250
19234,80
19243,80
19286,80
19333,25
19367,22
19362,80
18004,80
18426,80
18103,200
18460,80
18159,100
18243,150
18268,80
18270,80
19309,80
17029,80
17063,80
17112,100
17191,80
17212,80
17285,80
17462,44
17343,80
16034,500
16097,120
16105,120
16107,120
16110,120
16491,120
16140,100
16152,80
16174,19
16188,150
16214,80
16273,100
16319,85
16325,80
16332,150
16367,150
16451,150
16091,120
16145,80
16152,40
16173,80
16203,80
16293,120
16310,80
16418,80
16486,80
16393,200
16355,80
16369,80
17386,80
17136,80
17130,80
17164,80
17188,80
17397,80
17219,80
17228,80
17251,80
17266,80
17278,40
17354,150
17044,100
18019,80
18022,25
18384,80
18095,120
18091,1000
18100,120
18393,80
18123,80
18409,150
18398,80
18156,100
18412,80
18186,80
18192,80
18444,120
18242,120
18265,80
18301,80
18330,80
18333,80
18403,80
18351,80
18233,150
19016,20
19031,120
19039,84
19050,105
19454,100
19072,80
19080,80
19086,120
19088,15
19136,80
19149,80
19165,20
19169,50
19173,125
19196,80
19206,125
19317,190
19261,120
19333,40
19335,15
19344,100
19357,80
19371,200
19394,80
16002,80
16458,80
16056,80
16064,80
16128,120
16130,80
16131,85
16145,40
16156,80
16165,80
16166,20
16179,80
16246,80
16502,100
16493,80
16284,80
16298,80
16328,80
16334,80
16350,80
16361,80
16364,80
17080,80
,
17455,20
17132,80
17123,80
17128,80
17202,10
17256,200
17276,200
